record_status,owner_action,tag,count
UNCHANGED,UNREVIEWED,RDC_CLOCK_CORRUPT_OBSERVED,44
UNCHANGED,UNREVIEWED,SETUP_LIBCELLPIN_UNMODELLED,1
UNCHANGED,UNREVIEWED,SETUP_RESET_CONSTANT_ACTIVE,3
UNCHANGED,WAIVED,RDC_CLOCK_CORRUPT_OBSERVED,109
UNCHANGED,WAIVED,SETUP_LIBCELLPIN_UNMODELLED,5
