record_status,owner_action,tag,count
UNCHANGED,UNREVIEWED,CDC_COHERENCY_MULTI_SYNC,12
UNCHANGED,UNREVIEWED,CDC_COHERENCY_RECONV_COMB,9
UNCHANGED,UNREVIEWED,CDC_COHERENCY_RECONV_SEQ,3
UNCHANGED,UNREVIEWED,CDC_UNSYNC_DATA,1
UNCHANGED,UNREVIEWED,INTEGRITY_ASYNCRESET_COMBO_MUX,1
UNCHANGED,UNREVIEWED,SETUP_RESET_CONSTANT_ACTIVE,3
UNCHANGED,WAIVED,CDC_COHERENCY_RECONV_SEQ,4
UNCHANGED,WAIVED,SETUP_LIBCELLPIN_UNMODELLED,6
